name,bio,age
Freida,CIVITANOVA MARCHE,45
Allsun,NANTERRE,86
Steffane,MILANO,75
Carling,NEW CASTLE,97
Bili,READING,4
Cami,BLAIRSVILLE,78
Donavon,WILSON,10
Rosemary,ST. PAUL,67
Rosalinda,SANDERSVILLE,98
Saunder,Linz,18
Lonni,RICHMOND,52
Carly,ROCKPORT,64
